"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"1";"0603B334K250NT - 330nF";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"2";"10129383-912001ALF";"10129383-912001ALF";"10129383912001ALF";"J4, J5";"EconoStik, Board to Board connector, Unshrouded Vertical Header, Surface Mount, Double Row,  Positions, 2.54 mm (0.100in) Pitch.";"";"";"EconoStik, Board to Board connector, Unshrouded Vertical Header, Surface Mount, Double Row,  Positions, 2.54 mm (0.100in) Pitch.";"8.58mm";"Amphenol";"10129383-912001ALF";"";"649-1012938391201ALF";"https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/10129383-912001ALF?qs=0lQeLiL1qyZD4F7peRNLhQ%3D%3D";"";"";"";"";"";
"1";"BZT52C3V3T-7";"BZT52C3V3T-7";"SODFL1608X65N";"D2";"Diodes Inc BZT52C3V3T-7 Zener Diode, 3.3V 6% 300 mW SMT 2-Pin SOD-523";"BZT52C3V3T-7";"https://www.arrow.com/en/products/bzt52c3v3t-7/diodes-incorporated";"Diodes Inc BZT52C3V3T-7 Zener Diode, 3.3V 6% 300 mW SMT 2-Pin SOD-523";"0.65mm";"Diodes Inc.";"BZT52C3V3T-7";"";"621-BZT52C3V3T-7";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/BZT52C3V3T-7?qs=zLeapIUCO8SeTE43ANZQdw%3D%3D";"";"";"";"";"";
"3";"CL05A105KA5NQNC - 1uF";"C-EUC0402";"C0402";"C6, C13, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"1";"CL05A475MP5NRNC - 4.7uF";"C-EUC0402";"C0402";"C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"2";"CL05B104KO5NNNC - 100n";"C-EUC0402";"C0402";"C10, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"1";"CL31A107MQHNNNE - 100uf";"C-EUC1206";"C1206";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"C";
"1";"CP2104-F03-GMR";"CP2104-F03-GMR";"QFN50P400X400X80-25N";"IC2";"USB-to-UART 1-CH 576byte FIFO 3.3V Automotive 24-Pin QFN EP T/R";"CP2104-F03-GMR";"https://www.arrow.com/en/products/cp2104-f03-gmr/silicon-labs";"USB-to-UART 1-CH 576byte FIFO 3.3V Automotive 24-Pin QFN EP T/R";"0.8mm";"Silicon Labs";"CP2104-F03-GMR";"";"634-CP2104-F03-GMR";"https://www.mouser.co.uk/ProductDetail/Silicon-Labs/CP2104-F03-GMR?qs=1CB38rTTsYrRJKVkczeRzA%3D%3D";"";"";"";"";"";
"1";"ESP-WROOM-32D";"ESP-WROOM-32D";"ESPWROOM32D";"IC1";"WiFi Modules (802.11) ESP32-D0WD 32 Mbits, 3.3 V 40 MHz onboard antenna (18.00+/-0.10) x (25.50+/-0.10) x (3.10+/-0.10)";"";"";"WiFi Modules (802.11) ESP32-D0WD 32 Mbits, 3.3 V 40 MHz onboard antenna (18.00+/-0.10) x (25.50+/-0.10) x (3.10+/-0.10)";"3.2mm";"Espressif Systems";"ESP-WROOM-32D";"";"356-ESP-WROOM-32D";"https://www.mouser.com/Search/Refine.aspx?Keyword=356-ESP-WROOM-32D";"";"";"";"";"";
"2";"Everlight Elec 19-217/GHC-YR1S2/3T";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1, LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"28";"";
"1";"FDN340P";"FDN340P";"SOT95P237X112-3N";"Q1";"Trans MOSFET P-CH 20V 2A 3-Pin SuperSOT";"FDN340P";"https://www.arrow.com/en/products/fdn340p/on-semiconductor";"Trans MOSFET P-CH 20V 2A 3-Pin SuperSOT";"1.12mm";"ON Semiconductor";"FDN340P";"";"512-FDN340P";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/FDN340P?qs=AMp2PTjoga9dhzFXRaqTZw%3D%3D";"";"";"";"";"";
"2";"GROVE_CONNECTOR2.0_1X4";"GROVE_CONNECTOR2.0_1X4";"2.0_1X4_STRAIGHT";"J1, J2";"Seeedstudio Grove-Connector:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
