Comment,Designator,Footprint,LCSC Part #
0603B334K250NT - 330nF,C3,C0603,
10129383-912001ALF,J4 J5,10129383912001ALF,
BZT52C3V3T-7,D2,SODFL1608X65N,
CL05A105KA5NQNC - 1uF,C6 C13 C15,C0402,
CL05A475MP5NRNC - 4.7uF,C16,C0402,
CL05B104KO5NNNC - 100n,C10 C14,C0402,
CL31A107MQHNNNE - 100uf,C5,C1206,
CP2104-F03-GMR,IC2,QFN50P400X400X80-25N,
ESP-WROOM-32D,IC1,ESPWROOM32D,
Everlight Elec 19-217/GHC-YR1S2/3T,LED1 LED2,CHIPLED_0603,
FDN340P,Q1,SOT95P237X112-3N,
LMV358IDGKRG4,IC4,SOP65P490X110-8N,
MINI-USB-SHIELD-UX60A-MB-5ST,X1,UX60A-MB-5ST,
NCP1117ST33T3G,IC5,SOT230P700X180-4N,
NCP1117ST50T3G,IC3,SOT230P700X180-4N,
S8050G,Q2 Q3,SOT95P240X110-3N,
SP0503BAHTG,D1,SP0503BAHTG,
ST(Semtech) CK1C470M-CRD54 - 47uF,C2 C7,PANASONIC_C,
TS-1187A-C-E-B,S1 S2,TS1187ACEB,
Uniroyal Elec 0402WGF1001TCE - 1k,R5 R12,R0402,
Uniroyal Elec 0402WGF1001TCE - 170R,R1,R0402,
Uniroyal Elec 0402WGF1002TCE - 10k,R3 R4,R0402,
Uniroyal Elec 0402WGF1202TCE - 12k,R2 R10 R16 R17,R0402,
Uniroyal Elec 0402WGF1801TCE - 1k8,R6,R0402,
Uniroyal Elec 0402WGF2402TCE - 24k,R7,R0402,
Uniroyal Elec 0402WGF3900TCE - 390R,R13,R0402,
Uniroyal Elec 0402WGF4700TCE - 470,R11 R14 R15 R18,R0402,
Uniroyal Elec 0402WGF4701TCE - 4k7,R9,R0402,
Uniroyal Elec 0402WGF4702TCE - 47k,R8,R0402,
Walsin Tech Corp 0603B104K250CT - 100nF,C1 C4 C11 C12,C0603,
