Designator,Mid X,Mid Y,Layer,Rotation
C1,12.47,38.20,Top,0.0
C2,35.93, 6.59,Top,270.0
C3,17.56,35.00,Top,90.0
C4,30.98,13.57,Top,180.0
C5,33.70,16.44,Top,270.0
C6,30.99,15.21,Top,180.0
C7,15.43,41.52,Top,180.0
C10, 4.15,30.67,Top,180.0
C11,40.37,11.92,Top,270.0
C12,42.62,12.25,Top,270.0
C13, 3.95, 8.66,Top,0.0
C14, 3.96,16.05,Top,180.0
C15, 3.96,17.29,Top,180.0
C16,10.46,12.72,Top,180.0
D1,15.17,13.85,Top,90.0
D2,12.30,44.95,Top,180.0
IC1,34.59,37.70,Top,270.0
IC2, 5.86,12.49,Top,0.0
IC3, 6.66,41.92,Top,0.0
IC4, 4.12,33.33,Top,180.0
IC5,42.64, 5.59,Top,270.0
J4,24.00,22.00,Top,0.0
J5,24.00, 6.00,Top,180.0
LED1,13.74,29.09,Top,90.0
LED2,17.21,29.43,Top,0.0
Q1,14.17,33.72,Top,180.0
Q2,13.09, 8.90,Top,180.0
Q3,13.06, 4.79,Top,0.0
R1,13.98,30.49,Top,180.0
R2, 9.60, 3.13,Top,90.0
R3, 8.62,34.80,Top,0.0
R4,10.84,34.79,Top,0.0
R5,10.86,33.71,Top,180.0
R6,10.85,32.66,Top,0.0
R7, 7.22, 6.95,Top,0.0
R8, 7.22, 5.80,Top,0.0
R9, 7.22, 8.02,Top,0.0
R10,12.45, 2.07,Top,0.0
R11, 7.47,16.76,Top,0.0
R12,17.06,45.05,Top,0.0
R13,14.81,44.97,Top,0.0
R14,37.87,16.22,Top,270.0
R15,37.83,22.79,Top,270.0
R16,37.83,25.18,Top,270.0
R17,37.83,18.86,Top,270.0
R18,15.87,29.29,Top,270.0
S1,42.23,24.13,Top,0.0
S2,42.19,17.61,Top,0.0
X1, 6.50,24.00,Top,0.0
