Comment,Designator,Footprint,LCSC Part #
0402CG150J500NT - 15pF,C5 C6,C0402,
0603B334K250NT - 330nF,C3,C0603,
10129383-912001ALF,J4 J5,10129383912001ALF,
ATMEGA328P-MU,IC1,QFN50P500X500X100-33N,
CL05A105KA5NQNC - 1uF,C13 C15,C0402,
CL05A475MP5NRNC - 4.7uF,C16,C0402,
CL05B104KO5NNNC - 100n,C4 C8 C9 C10 C14,C0402,
CP2104-F03-GMR,IC2,QFN50P400X400X80-25N,
EDZTE615.1B,Z1,EMD2,
Everlight Elec 19-217/GHC-YR1S2/3T,LED1,CHIPLED_0603,
FDN340P,Q1,SOT95P237X112-3N,
LMV358IDGKRG4,IC4,SOP65P490X110-8N,
MINI-USB-SHIELD-UX60A-MB-5ST,X1,UX60A-MB-5ST,
NCP1117ST50T3G,IC3,SOT230P700X180-4N@1,
SP0503BAHTG,D1,SP0503BAHTG,
ST(Semtech) CK1C470M-CRD54 - 47uF,C2 C7,PANASONIC_C,
Uniroyal Elec 0402WGF1001TCE - 1k,R5 R10 R11 R12,R0402,
Uniroyal Elec 0402WGF1001TCE - 170R,R1,R0402,
Uniroyal Elec 0402WGF1002TCE - 10k,R3 R4,R0402,
Uniroyal Elec 0402WGF1002TCE - 10kR,R2,R0402,
Uniroyal Elec 0402WGF1801TCE - 1k8,R6,R0402,
Uniroyal Elec 0402WGF2402TCE - 24k,R7,R0402,
Uniroyal Elec 0402WGF4701TCE - 4k7,R9,R0402,
Uniroyal Elec 0402WGF4702TCE - 47k,R8,R0402,
Uniroyal Elec 0402WGF6801TCE - 680R,R13,R0402,
Walsin Tech Corp 0603B104K250CT - 100nF,C1,C0603,
X322516MLB4SI,Y1,X322516MLB4SI,
