Designator,Mid X,Mid Y,Layer,Rotation
C1,27.80,39.33,Top,180.0
C2,24.89,43.29,Top,180.0
C3,23.70,39.34,Top,180.0
C4,29.43,41.94,Top,90.0
C5,44.28,41.45,Top,90.0
C6,44.28,38.22,Top,270.0
C7,15.43,41.52,Top,180.0
C8,40.46,35.92,Top,180.0
C9,40.46,34.82,Top,180.0
C10, 4.15,30.67,Top,180.0
C13, 3.95, 8.66,Top,0.0
C14, 3.96,16.05,Top,180.0
C15, 3.96,17.29,Top,180.0
C16,10.46,12.72,Top,180.0
D1,20.17,32.30,Top,90.0
IC1,34.57,38.08,Top,180.0
IC2, 5.86,12.49,Top,0.0
IC3, 6.66,41.92,Top,0.0
IC4, 4.12,33.33,Top,180.0
J4,24.00,22.00,Top,0.0
J5,24.00, 6.00,Top,180.0
LED1,43.62,45.09,Top,0.0
Q1,14.17,33.72,Top,180.0
R1,41.74,44.85,Top,90.0
R2,40.12,44.86,Top,90.0
R3, 8.62,34.80,Top,0.0
R4,10.84,34.79,Top,0.0
R5,10.86,33.71,Top,180.0
R6,10.85,32.66,Top,0.0
R7, 7.22, 6.95,Top,0.0
R8, 7.22, 5.80,Top,0.0
R9, 7.22, 8.02,Top,0.0
R10, 7.46,15.71,Top,0.0
R11, 7.47,16.76,Top,0.0
R12,15.54,38.21,Top,180.0
R13,19.76,39.51,Top,270.0
X1, 6.50,24.00,Top,0.0
Y1,41.03,39.33,Top,270.0
Z1,21.19,39.85,Top,90.0
