"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"1";"";"W237-02P";"W237-132";"X1";"WAGO SREW CLAMP";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"10";"";
"1";"0603B334K250NT - 330nF";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"1";"Everlight Elec 19-217/GHC-YR1S2/3T";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"28";"";
"4";"GROVE_CONNECTOR2.0_1X4";"GROVE_CONNECTOR2.0_1X4";"2.0_1X4_STRAIGHT";"J1, J2, J3, J4";"Seeedstudio Grove-Connector:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LOGO_MORPHBOT5MM";"LOGO_MORPHBOT5MM";"LOGO_MORPHBOT";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"NCP1117ST33T3G";"NCP1117ST33T3G";"SOT230P700X180-4N";"IC2";"ON SEMICONDUCTOR - NCP1117ST33T3G - IC, LINEAR VOLTAGE REGULATOR";"NCP1117ST33T3G";"https://www.arrow.com/en/products/ncp1117st33t3g/on-semiconductor";"ON SEMICONDUCTOR - NCP1117ST33T3G - IC, LINEAR VOLTAGE REGULATOR";"1.8mm";"ON Semiconductor";"NCP1117ST33T3G";"";"863-NCP1117ST33T3G";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/NCP1117ST33T3G?qs=Gev%252BmEvV0iZb%2FE8ahUDx3w%3D%3D";"";"";"";"";"";
"3";"OPEN-PNP-FIDUCIAL";"OPEN-PNP-FIDUCIAL";"OPEN-PNP-FIDUCIAL";"FID1, FID2, FID3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ST(Semtech) CK1C470M-CRD54 - 47uF";"CPOL-EUC";"PANASONIC_C";"C2";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"4";"C";
"1";"Uniroyal Elec 0402WGF1001TCE - 170R";"R-EU_R0402";"R0402";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"2";"Uniroyal Elec 0402WGF2001TCE - 2k";"R-EU_R0402";"R0402";"R2, R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Walsin Tech Corp 0603B104K250CT - 100nF";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
