"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"2";"0402CG150J500NT - 15pF";"C-EUC0402";"C0402";"C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"1";"0603B334K250NT - 330nF";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"1";"10129383-906001ALF";"10129383-906001ALF";"10129383906001ALF";"J3";"Headers & Wire Housings ECONOSTIK HEADER DR VT SMT 2X3";"10129383-906001ALF";"https://www.arrow.com/en/products/10129383-906001alf/amphenol-fci";"Headers & Wire Housings ECONOSTIK HEADER DR VT SMT 2X3";"8.58mm";"Amphenol";"10129383-906001ALF";"";"649-1012938390601ALF";"https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/10129383-906001ALF?qs=0lQeLiL1qyZsINMRDvT9Pw%3D%3D";"";"";"";"";"";
"1";"ATMEGA328P-MU";"ATMEGA328P-MU";"QFN50P500X500X100-33N";"IC1";"ATMEGA328P-MU, 8 bit AVR Microcontroller 20MHz 1, 32kb Flash, 2kb RAM, I2C SPI 32-Pin MLF";"ATMEGA328P-MU";"https://www.arrow.com/en/products/atmega328p-mu/microchip-technology";"ATMEGA328P-MU, 8 bit AVR Microcontroller 20MHz 1, 32kb Flash, 2kb RAM, I2C SPI 32-Pin MLF";"1mm";"Microchip";"ATMEGA328P-MU";"";"556-ATMEGA328P-MU";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATMEGA328P-MU?qs=K8BHR703ZXgI55tOEPBx9w%3D%3D";"";"";"";"";"";
"2";"CL05A105KA5NQNC - 1uF";"C-EUC0402";"C0402";"C13, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"1";"CL05A475MP5NRNC - 4.7uF";"C-EUC0402";"C0402";"C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"6";"CL05B104KO5NNNC - 100n";"C-EUC0402";"C0402";"C4, C8, C9, C10, C11, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"1";"CP2104-F03-GMR";"CP2104-F03-GMR";"QFN50P400X400X80-25N";"IC2";"USB-to-UART 1-CH 576byte FIFO 3.3V Automotive 24-Pin QFN EP T/R";"CP2104-F03-GMR";"https://www.arrow.com/en/products/cp2104-f03-gmr/silicon-labs";"USB-to-UART 1-CH 576byte FIFO 3.3V Automotive 24-Pin QFN EP T/R";"0.8mm";"Silicon Labs";"CP2104-F03-GMR";"";"634-CP2104-F03-GMR";"https://www.mouser.co.uk/ProductDetail/Silicon-Labs/CP2104-F03-GMR?qs=1CB38rTTsYrRJKVkczeRzA%3D%3D";"";"";"";"";"";
"1";"EDZTE615.1B";"EDZTE615.1B";"EMD2";"Z1";"ROHM EDZTE615.1B Zener Diode, 5.1V 2% 0.1 W SMT 2-Pin EMD";"";"";"ROHM EDZTE615.1B Zener Diode, 5.1V 2% 0.1 W SMT 2-Pin EMD";"mm";"ROHM Semiconductor";"EDZTE615.1B";"";"755-EDZTE615.1B";"https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/EDZTE6151B?qs=4kLU8WoGk0uAJO8EOvJm8g%3D%3D";"";"";"";"";"";
"1";"Everlight Elec 19-217/GHC-YR1S2/3T";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"28";"";
"1";"FDN340P";"FDN340P";"SOT95P237X112-3N";"Q1";"Trans MOSFET P-CH 20V 2A 3-Pin SuperSOT";"FDN340P";"https://www.arrow.com/en/products/fdn340p/on-semiconductor";"Trans MOSFET P-CH 20V 2A 3-Pin SuperSOT";"1.12mm";"ON Semiconductor";"FDN340P";"";"512-FDN340P";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/FDN340P?qs=AMp2PTjoga9dhzFXRaqTZw%3D%3D";"";"";"";"";"";
"2";"GROVE_CONNECTOR2.0_1X4";"GROVE_CONNECTOR2.0_1X4";"2.0_1X4_STRAIGHT";"J1, J2";"Seeedstudio Grove-Connector:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LMV358IDGKRG4";"LMV358IDGKRG4";"SOP65P490X110-8N";"IC4";"Operational Amplifiers - Op Amps Dual Low-Voltage Rail-to-Rail Out";"LMV358IDGKRG4";"https://www.arrow.com/en/products/lmv358idgkrg4/texas-instruments";"Operational Amplifiers - Op Amps Dual Low-Voltage Rail-to-Rail Out";"1.1mm";"Texas Instruments";"LMV358IDGKRG4";"";"595-LMV358IDGKRG4";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LMV358IDGKRG4?qs=paYhMW8qfiuzqo4cLPZoVQ%3D%3D";"";"";"";"";"";
"1";"LOGO_MORPHBOT5MM";"LOGO_MORPHBOT5MM";"LOGO_MORPHBOT";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MIKROE-924";"MIKROE-924";"MIKROE924";"IC5";"microSD click mikroBUS";"";"";"microSD click mikroBUS";"5mm";"MIKROELEKTRONIKA";"MIKROE-924";"";"932-MIKROE-924";"https://www.mouser.com/Search/Refine.aspx?Keyword=932-MIKROE-924";"";"";"";"";"";
"1";"MINI-USB-SHIELD-UX60A-MB-5ST";"MINI-USB-SHIELD-UX60A-MB-5ST";"UX60A-MB-5ST";"X1";"MINI USB Connector";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"0";"";
"1";"NCP1117ST50T3G";"NCP1117ST50T3G";"SOT230P700X180-4N";"IC3";"ON SEMICONDUCTOR - NCP1117ST50T3G - LDO, REG, 20VIN, 1A, 5V, 1%, SOT223-3";"NCP1117ST50T3G";"https://www.arrow.com/en/products/ncp1117st50t3g/on-semiconductor";"ON SEMICONDUCTOR - NCP1117ST50T3G - LDO, REG, 20VIN, 1A, 5V, 1%, SOT223-3";"1.8mm";"ON Semiconductor";"NCP1117ST50T3G";"";"863-NCP1117ST50T3G";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/NCP1117ST50T3G?qs=Gev%252BmEvV0ib6dijy6U0dhQ%3D%3D";"";"";"";"";"";
"3";"OPEN-PNP-FIDUCIAL";"OPEN-PNP-FIDUCIAL";"OPEN-PNP-FIDUCIAL";"FID1, FID2, FID3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SP0503BAHTG";"SP0503BAHTG";"SP0503BAHTG";"D1";"ESD Suppressors / TVS Diodes TVS AVAL DIODE SMT";"SP0503BAHTG";"https://www.arrow.com/en/products/sp0503bahtg/littelfuse";"ESD Suppressors / TVS Diodes TVS AVAL DIODE SMT";"1.22mm";"LITTELFUSE";"SP0503BAHTG";"";"576-SP0503BAHTG";"https://www.mouser.co.uk/ProductDetail/Littelfuse/SP0503BAHTG?qs=uD%2FdkN7XIa0NTYXwHdELYA%3D%3D";"";"";"";"";"";
"2";"ST(Semtech) CK1C470M-CRD54 - 47uF";"CPOL-EUC";"PANASONIC_C";"C2, C7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"4";"C";
"1";"Uniroyal Elec 0402WGF1001TCE - 170R";"R-EU_R0402";"R0402";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"4";"Uniroyal Elec 0402WGF1001TCE - 1k";"R-EU_R0402";"R0402";"R5, R10, R11, R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"2";"Uniroyal Elec 0402WGF1002TCE - 10k";"R-EU_R0402";"R0402";"R3, R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF1002TCE - 10kR";"R-EU_R0402";"R0402";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF1801TCE - 1k8";"R-EU_R0402";"R0402";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF2402TCE - 24k";"R-EU_R0402";"R0402";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF4701TCE - 4k7";"R-EU_R0402";"R0402";"R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF4702TCE - 47k";"R-EU_R0402";"R0402";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF6801TCE - 680R";"R-EU_R0402";"R0402";"R13";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Walsin Tech Corp 0603B104K250CT - 100nF";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"1";"X322516MLB4SI";"X322516MLB4SI";"X322516MLB4SI";"Y1";"Crystal";"";"";"Crystal";"0.8mm";"Yangxing Tech";"X322516MLB4SI";"";"";"";"";"";"";"";"";
