"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"1";"";"JP2E";"JP2";"JP1";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";
"1";"";"MA08-1";"MA08-1";"SV2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"10";"";
"1";"";"MA08-2";"MA08-2";"SV1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"0";"";
"1";"";"W237-04P";"W237-4P";"X1";"WAGO SREW CLAMP";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"2";"";
"6";"0402WGF1002TCE - 10k";"R-EU_R0402";"R0402";"R2, R3, R4, R5, R6, R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"0603B334K250NT - 330nF";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"1";"CL10A105KB8NNNC - 1uF";"C-EUC0603";"C0603";"C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"1";"DSHP06TSGET";"DSHP06TSGET";"DSHP06TSGET";"S2";"SPST 6 1.27mm, Half Slide (Standard) Black SMD DIP Switches";"";"";"SPST 6 1.27mm, Half Slide (Standard) Black SMD DIP Switches";"2.6mm";"Dongguan Guangzhu Industrial";"DSHP06TSGET";"";"";"";"";"";"";"";"";
"1";"Everlight Elec 19-217/GHC-YR1S2/3T";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"28";"";
"2";"GROVE_CONNECTOR2.0_1X4";"GROVE_CONNECTOR2.0_1X4";"2.0_1X4_STRAIGHT";"J1, J2";"Seeedstudio Grove-Connector:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LOGO_MORPHBOT5MM";"LOGO_MORPHBOT5MM";"LOGO_MORPHBOT";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"NCP1117ST50T3G";"NCP1117ST50T3G";"SOT230P700X180-4N";"IC3";"ON SEMICONDUCTOR - NCP1117ST50T3G - LDO, REG, 20VIN, 1A, 5V, 1%, SOT223-3";"NCP1117ST50T3G";"https://www.arrow.com/en/products/ncp1117st50t3g/on-semiconductor";"ON SEMICONDUCTOR - NCP1117ST50T3G - LDO, REG, 20VIN, 1A, 5V, 1%, SOT223-3";"1.8mm";"ON Semiconductor";"NCP1117ST50T3G";"";"863-NCP1117ST50T3G";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/NCP1117ST50T3G?qs=Gev%252BmEvV0ib6dijy6U0dhQ%3D%3D";"";"";"";"";"";
"3";"OPEN-PNP-FIDUCIAL";"OPEN-PNP-FIDUCIAL";"OPEN-PNP-FIDUCIAL";"FID1, FID2, FID3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PCA9685PW";"PCA9685PW";"SOP65P640X110-28N";"IC1";"LED DRIVER, RGBA, 28-TSSOP";"";"";"LED DRIVER, RGBA, 28-TSSOP";"1.1mm";"Nexperia";"PCA9685PW";"";"N/A";"https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA";"";"";"";"";"";
"3";"ST(Semtech) CK1C470M-CRD54 - 47uF";"CPOL-EUC";"PANASONIC_C";"C2, C4, C7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"4";"C";
"1";"TB6612FNG,C,8,EL";"TB6612FNG,C,8,EL";"SOP65P760X160-24N";"IC2";"otor / Motion / Ignition Controllers & Drivers Brush Motor Driver IC";"TB6612FNG,C,8,EL";"https://www.arrow.com/en/products/tb6612fngc8el/toshiba";"otor / Motion / Ignition Controllers & Drivers Brush Motor Driver IC";"1.6mm";"Toshiba";"TB6612FNG,C,8,EL";"";"757-TB6612FNGC8EL";"https://www.mouser.co.uk/ProductDetail/Toshiba/TB6612FNGC8EL?qs=rsevcuukUAy2UalRuv4E%2FQ%3D%3D";"";"";"";"";"";
"1";"Uniroyal Elec 0402WGF1001TCE - 170R";"R-EU_R0402";"R0402";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"3";"Walsin Tech Corp 0603B104K250CT - 100nF";"C-EUC0603";"C0603";"C1, C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
